"UID","Date","country_name","ISO3","Confirmed","Recovered","Deaths"
"334","1/23/2020","Seychelles","SYC","0","0","0"
"335","1/23/2020","Sierra Leone","SLE","0","0","0"
"336","1/23/2020","Singapore","SGP","1","0","0"
"337","1/23/2020","Slovakia","SVK","0","0","0"
"338","1/23/2020","Slovenia","SVN","0","0","0"
"339","1/23/2020","Somalia","SOM","0","0","0"
"340","1/23/2020","South Africa","ZAF","0","0","0"
"341","1/23/2020","South Sudan","SSD","0","0","0"
"342","1/23/2020","Spain","ESP","0","0","0"
"343","1/23/2020","Sri Lanka","LKA","0","0","0"
"344","1/23/2020","Sudan","SDN","0","0","0"
"345","1/23/2020","Suriname","SUR","0","0","0"
"346","1/23/2020","Sweden","SWE","0","0","0"
"347","1/23/2020","Switzerland","CHE","0","0","0"
"348","1/23/2020","Syria","SYR","0","0","0"
"349","1/23/2020","Taiwan*","TWN","1","0","0"
"350","1/23/2020","Tanzania","TZA","0","0","0"
"351","1/23/2020","Thailand","THA","3","0","0"
"352","1/23/2020","Timor-Leste","TLS","0","0","0"
"353","1/23/2020","Togo","TGO","0","0","0"
"354","1/23/2020","Trinidad and Tobago","TTO","0","0","0"
"355","1/23/2020","Tunisia","TUN","0","0","0"
"356","1/23/2020","Turkey","TUR","0","0","0"
"357","1/23/2020","US","USA","1","0","0"
"358","1/23/2020","Uganda","UGA","0","0","0"
"359","1/23/2020","Ukraine","UKR","0","0","0"
"360","1/23/2020","United Arab Emirates","ARE","0","0","0"
"361","1/23/2020","United Kingdom","GBR","0","0","0"
"362","1/23/2020","Uruguay","URY","0","0","0"
"363","1/23/2020","Uzbekistan","UZB","0","0","0"
"364","1/23/2020","Venezuela","VEN","0","0","0"
"365","1/23/2020","Vietnam","VNM","2","0","0"
"366","1/23/2020","West Bank and Gaza","PSE","0","0","0"
"367","1/23/2020","Western Sahara","ESH","0","0","0"
"368","1/23/2020","Yemen","YEM","0","0","0"
"369","1/23/2020","Zambia","ZMB","0","0","0"
"370","1/23/2020","Zimbabwe","ZWE","0","0","0"
"371","1/24/2020","Afghanistan","AFG","0","0","0"
"372","1/24/2020","Albania","ALB","0","0","0"
"373","1/24/2020","Algeria","DZA","0","0","0"
"374","1/24/2020","Andorra","AND","0","0","0"
"375","1/24/2020","Angola","AGO","0","0","0"
"376","1/24/2020","Antigua and Barbuda","ATG","0","0","0"
"377","1/24/2020","Argentina","ARG","0","0","0"
"378","1/24/2020","Armenia","ARM","0","0","0"
"379","1/24/2020","Australia","AUS","0","0","0"
"380","1/24/2020","Austria","AUT","0","0","0"
"381","1/24/2020","Azerbaijan","AZE","0","0","0"
"382","1/24/2020","Bahamas","BHS","0","0","0"
"383","1/24/2020","Bahrain","BHR","0","0","0"
"384","1/24/2020","Bangladesh","BGD","0","0","0"
"385","1/24/2020","Barbados","BRB","0","0","0"
"386","1/24/2020","Belarus","BLR","0","0","0"
"387","1/24/2020","Belgium","BEL","0","0","0"
"388","1/24/2020","Belize","BLZ","0","0","0"
"389","1/24/2020","Benin","BEN","0","0","0"
"390","1/24/2020","Bhutan","BTN","0","0","0"
"391","1/24/2020","Bolivia","BOL","0","0","0"
"392","1/24/2020","Bosnia and Herzegovina","BIH","0","0","0"
"393","1/24/2020","Botswana","BWA","0","0","0"
"394","1/24/2020","Brazil","BRA","0","0","0"
"395","1/24/2020","Brunei","BRN","0","0","0"
"396","1/24/2020","Bulgaria","BGR","0","0","0"
"397","1/24/2020","Burkina Faso","BFA","0","0","0"
"398","1/24/2020","Burma","MMR","0","0","0"
"399","1/24/2020","Burundi","BDI","0","0","0"
"400","1/24/2020","Cabo Verde","CPV","0","0","0"
"401","1/24/2020","Cambodia","KHM","0","0","0"
"402","1/24/2020","Cameroon","CMR","0","0","0"
"403","1/24/2020","Canada","CAN","0","0","0"
"404","1/24/2020","Central African Republic","CAF","0","0","0"
"405","1/24/2020","Chad","TCD","0","0","0"
"406","1/24/2020","Chile","CHL","0","0","0"
"407","1/24/2020","China","CHN","920","36","26"
"408","1/24/2020","Colombia","COL","0","0","0"
"409","1/24/2020","Congo (Brazzaville)","COG","0","0","0"
"410","1/24/2020","Congo (Kinshasa)","COD","0","0","0"
"411","1/24/2020","Costa Rica","CRI","0","0","0"
"412","1/24/2020","Cote d'Ivoire","CIV","0","0","0"
"413","1/24/2020","Croatia","HRV","0","0","0"
"414","1/24/2020","Cuba","CUB","0","0","0"
"415","1/24/2020","Cyprus","CYP","0","0","0"
"416","1/24/2020","Czechia","CZE","0","0","0"
"417","1/24/2020","Denmark","DNK","0","0","0"
"418","1/24/2020","Diamond Princess",,"0","0","0"
"419","1/24/2020","Djibouti","DJI","0","0","0"
"420","1/24/2020","Dominica","DMA","0","0","0"
"421","1/24/2020","Dominican Republic","DOM","0","0","0"
"422","1/24/2020","Ecuador","ECU","0","0","0"
"423","1/24/2020","Egypt","EGY","0","0","0"
"424","1/24/2020","El Salvador","SLV","0","0","0"
"425","1/24/2020","Equatorial Guinea","GNQ","0","0","0"
"426","1/24/2020","Eritrea","ERI","0","0","0"
"427","1/24/2020","Estonia","EST","0","0","0"
"428","1/24/2020","Eswatini","SWZ","0","0","0"
"429","1/24/2020","Ethiopia","ETH","0","0","0"
"430","1/24/2020","Fiji","FJI","0","0","0"
"431","1/24/2020","Finland","FIN","0","0","0"
"432","1/24/2020","France","FRA","2","0","0"
"433","1/24/2020","Gabon","GAB","0","0","0"
"434","1/24/2020","Gambia","GMB","0","0","0"
"435","1/24/2020","Georgia","GEO","0","0","0"
"436","1/24/2020","Germany","DEU","0","0","0"
"437","1/24/2020","Ghana","GHA","0","0","0"
"438","1/24/2020","Greece","GRC","0","0","0"
"439","1/24/2020","Grenada","GRD","0","0","0"
"440","1/24/2020","Guatemala","GTM","0","0","0"
"441","1/24/2020","Guinea","GIN","0","0","0"
"442","1/24/2020","Guinea-Bissau","GNB","0","0","0"
"443","1/24/2020","Guyana","GUY","0","0","0"
"444","1/24/2020","Haiti","HTI","0","0","0"
"445","1/24/2020","Holy See","VAT","0","0","0"
"446","1/24/2020","Honduras","HND","0","0","0"
"447","1/24/2020","Hungary","HUN","0","0","0"
"448","1/24/2020","Iceland","ISL","0","0","0"
"449","1/24/2020","India","IND","0","0","0"
"450","1/24/2020","Indonesia","IDN","0","0","0"
"451","1/24/2020","Iran","IRN","0","0","0"
"452","1/24/2020","Iraq","IRQ","0","0","0"
"453","1/24/2020","Ireland","IRL","0","0","0"
"454","1/24/2020","Israel","ISR","0","0","0"
"455","1/24/2020","Italy","ITA","0","0","0"
"456","1/24/2020","Jamaica","JAM","0","0","0"
"457","1/24/2020","Japan","JPN","2","0","0"
"458","1/24/2020","Jordan","JOR","0","0","0"
"459","1/24/2020","Kazakhstan","KAZ","0","0","0"
"460","1/24/2020","Kenya","KEN","0","0","0"
"461","1/24/2020","Korea, South","KOR","2","0","0"
"462","1/24/2020","Kosovo","XKS","0","0","0"
"463","1/24/2020","Kuwait","KWT","0","0","0"
"464","1/24/2020","Kyrgyzstan","KGZ","0","0","0"
"465","1/24/2020","Laos","LAO","0","0","0"
"466","1/24/2020","Latvia","LVA","0","0","0"
"467","1/24/2020","Lebanon","LBN","0","0","0"
"468","1/24/2020","Liberia","LBR","0","0","0"
